FID,id,navn,loebenummer,web_id,x,y,longitude,latitude,graffitirenhold,wkb_geometry
monumenter.359,61711,Legepladsudsmykning,341,439,722961.126774,6174732.512373,12.545357,55.667131,Ja,MULTIPOINT ((12.545356946594968 55.667130869836086))
monumenter.360,61715,Carlstad,349,454,719808.801937,6178681.778065,12.498501,55.703987,Ja,MULTIPOINT ((12.498500995267989 55.70398674291069))
monumenter.361,65019,Heraklesspringvandet,114,166,723536.479855,6175329.868398,12.554972,55.672224,Ja,MULTIPOINT ((12.554972315393318 55.672223702734286))
monumenter.362,65030,Fodboldspiller,247,281,718882.032987,6180365.901211,12.485127,55.71951,Ja,MULTIPOINT ((12.485127072514091 55.71951014158836))
monumenter.363,65041,Vesterbros blomst,270,305,723896.012551,6175459.448024,12.560783,55.67322,Ja,MULTIPOINT ((12.56078337821753 55.673220224416625))
monumenter.364,65042,Tyr,163,209,723824.465525,6174864.743891,12.559163,55.66792,Nej,MULTIPOINT ((12.55916321830512 55.667919836296726))
monumenter.365,65043,Fire steler,302,341,723775.597214,6174573.009966,12.55815,55.665326,Ja,MULTIPOINT ((12.55815012709702 55.66532604477601))
monumenter.366,65044,Fire steler,302,341,723986.835943,6174389.483879,12.561352,55.663583,Ja,MULTIPOINT ((12.561352014696203 55.66358285163703))
monumenter.367,65053,Fire steler,302,341,723962.374776,6174367.694941,12.560946,55.663399,Ja,MULTIPOINT ((12.56094616499593 55.66339871996633))
monumenter.368,65065,Moder med børn,135,184,720427.839988,6179098.98687,12.508669,55.707448,Ja,MULTIPOINT ((12.50866864105991 55.70744768567619))
monumenter.369,65072,Granskende pige,100,153,718587.882625,6179241.3603,12.479555,55.709557,Ja,MULTIPOINT ((12.479555498522599 55.70955704765519))
monumenter.370,65085,Kalkun,243,279,719166.866847,6180475.419618,12.489741,55.720364,Nej,MULTIPOINT ((12.48974056612609 55.720363739531926))
monumenter.371,65086,"To katte, der netter hinanden",206,248,718419.119657,6179741.694589,12.477274,55.71412,Ja,MULTIPOINT ((12.477273652944504 55.714120462355154))
monumenter.372,65087,Høstmand,167,213,720360.71986,6179341.470259,12.507798,55.709653,Ja,MULTIPOINT ((12.507797563696311 55.70965289371261))
monumenter.373,65088,Glasmosaik,208,249,720415.661803,6178756.331739,12.5082,55.70438,Nej,MULTIPOINT ((12.508199533473821 55.70438010679368))
monumenter.374,65113,Dreng,326,417,718332.323645,6179910.594343,12.476029,55.715674,Nej,MULTIPOINT ((12.476029371346264 55.715674369714485))
monumenter.375,65114,Granitskulptur,327,418,720439.366912,6178769.100255,12.508586,55.704484,Nej,MULTIPOINT ((12.508586309854783 55.7044838532684))
monumenter.376,65122,Cyklerne,350,455,723700.028837,6174606.307318,12.556978,55.665659,Ja,MULTIPOINT ((12.556978264582177 55.66565945143906))
monumenter.377,74282,En rigtig dansk familie,379,510,723870.11378,6173936.097345,12.559131,55.659571,,MULTIPOINT ((12.559130736491843 55.65957061872353))
monumenter.378,64973,Danske sprogforskere,121,172,724701.924155,6175504.5936,12.573609,55.673253,Ja,MULTIPOINT ((12.573609427246234 55.6732530038345))
monumenter.379,65141,Slægt løfter slægt,305,344,724932.263321,6175978.160703,12.577653,55.677393,Nej,MULTIPOINT ((12.577652726732584 55.67739331455124))
monumenter.380,61630,Vandkunst,221,260,724778.200578,6176420.042875,12.57557,55.681427,Ja,MULTIPOINT ((12.575569562891548 55.68142739378799))
monumenter.381,61661,Nulpunkt Amagerport,75,131,726003.865224,6175296.107058,12.594098,55.670779,Ja,MULTIPOINT ((12.594098043556187 55.670779433512486))
monumenter.382,,,,,725998.253461,6175218.425785,12.593945,55.670085,,MULTIPOINT ((12.593945063860964 55.670085417958916))
monumenter.383,65038,Adam Oehlenschläger,60,113,725455.289894,6176265.360372,12.586189,55.679726,Ja,MULTIPOINT ((12.586189382047678 55.679726388701496))
monumenter.384,65038,Ludvig Holberg,60,113,725436.174202,6176257.913564,12.58588,55.679668,Ja,MULTIPOINT ((12.585879870204504 55.67966847999931))
monumenter.385,61658,Siddende kvinde,149,198,725581.180764,6175222.20506,12.58733,55.670313,Ja,MULTIPOINT ((12.587330246990874 55.67031312733425))
monumenter.386,,,,,727108.232799,6174360.712036,12.610848,55.661876,,MULTIPOINT ((12.610848146663862 55.661876245313344))
monumenter.387,61724,Modstandsbevægelsens faldne,160,206,726086.812842,6175080.253785,12.595237,55.668805,Ja,MULTIPOINT ((12.59523651729718 55.66880512796106))
monumenter.388,65076,Kongens Livjægere,161,207,725524.513763,6178247.80844,12.588918,55.697472,Ja,MULTIPOINT ((12.588918117651739 55.69747240261654))
monumenter.389,,,,,727356.058739,6172445.808954,12.613196,55.644588,,MULTIPOINT ((12.613195846431978 55.64458834495136))
